课程,学分,任课教师,职称,上课班级,上课班级名称,人数/班级,上课群组名称,行政班级,周次,节次,上课地点,承担单位
宝玉石鉴赏,2,胡斌,副教授,000003,,0/0,,,1-16,40910,C座209,地球科学与信息物理学院
透过卫星看地球,2,冯光财,副教授,000004,,0/0,,,1-16,40910,C座109,地球科学与信息物理学院
形势与政策,1,李建军,副研究员,000007,,128/5,,"地物1703,地质1701,地质1702,遥感1701,生医1701","7,13",50506,A座310,形势与政策教研中心
理工学术英语,2,刘喜荣,讲师（高校）,000011,,0/1,,地质1701,1-16,50708,外语网络楼449,大学外语部
理工学术英语,2,李俊芳,副教授,000012,,0/1,,地质1702,1-16,20102,外语网络楼352,大学外语部
弹性力学（后半学期）,2,曹函,副教授,000013,,0/2,,"地质1701,地质1702",9-16,10506,B座403,地质工程系
弹性力学（后半学期）,2,曹函,副教授,000013,,0/2,,"地质1701,地质1702",9-16,30910,B座403,地质工程系
马克思主义基本原理概论,3,彭芬,讲师（高校）,000015,,52/2,,"地质1702,地质1701",1-16,50304,B座214,马克思基本原理教研室
工程地质与水文地质,3,金福喜,副教授,000017,,0/2,,"地质1701,地质1702",1-8,20304,B座420,地质工程系
工程地质与水文地质,3,金福喜,副教授,000017,,0/2,,"地质1701,地质1702",1-8,40506,B座205,地质工程系
工程地质与水文地质,3,金福喜,副教授,000017,,0/2,,"地质1701,地质1702",1-8,10506,B座420,地质工程系
岩土钻掘工艺学,4,张绍和,教授,000019,,52/2,,"地质1702,地质1701",1-16,20506,B座420,地质工程系
岩土钻掘工艺学,4,张绍和,教授,000019,,52/2,,"地质1702,地质1701",1-16,40102,B座420,地质工程系
机械设计基础A,4,邓跃红,副教授,000021,,52/2,,"地质1702,地质1701",1-16,30102,A座114,机械设计系
机械设计基础A,4,邓跃红,副教授,000021,,52/2,,"地质1702,地质1701",1-16,10304,A座114,机械设计系
材料力学C,4,王宁波,副教授,000023,,52/2,,"地质1702,地质1701",1-16,30304,A座310,力学系
材料力学C,4,王宁波,副教授,000023,,52/2,,"地质1702,地质1701",1-16,10102,A座310,力学系
大学生心理健康教育,1,周湘莲,教授,000029,,85/3,,"地信类1803,地信类1801,地信类1802",9-16,30304,A座119,思想政治教育系
大学生心理健康教育,1,颜峰,教授,000034,,73/3,,"地信类1813,地信类1814,电子信息类1801",9-16,40708,C座310,思想政治教育系
大学生心理健康教育,1,周湘莲,教授,000035,,86/3,,"地信类1812,地信类1811,地信类1810",9-16,20304,A座119,思想政治教育系
大学生心理健康教育,1,周湘莲,教授,000037,,84/3,,"地信类1808,地信类1807,地信类1809",9-16,20506,A座119,思想政治教育系
大学生心理健康教育,1,周湘莲,教授,000039,,75/3,,"地信类1806,地信类1805,地信类1804",9-16,30102,A座119,思想政治教育系
形势与政策,2,李建军,副研究员,000071,,136/5,,"地信类1803,地信类1805,地信类1802,地信类1801,地信类1804","8,14",30708,D座205,形势与政策教研中心
形势与政策,2,李建军,副研究员,000074,,138/5,,"地信类1810,地信类1808,地信类1809,地信类1806,地信类1807","8,14",30506,D座205,形势与政策教研中心
工程经济与管理,2,王敏,讲师（高校）,000085,,0/2,,"地信类1802,地信类1801",1-8,10910,C座308,工程管理系
工程经济与管理,2,王敏,讲师（高校）,000085,,0/2,,"地信类1802,地信类1801",1-8,30910,C座310,工程管理系
工程经济与管理,2,王敏,讲师（高校）,000087,,0/2,,"地信类1803,地信类1804",1-8,20304,C座310,工程管理系
工程经济与管理,2,王敏,讲师（高校）,000087,,0/2,,"地信类1803,地信类1804",1-8,50506,C座310,工程管理系
工程经济与管理,2,陈辉华,副教授,000089,,0/2,,"地信类1805,地信类1806",1-8,20304,A座308,工程管理系
工程经济与管理,2,陈辉华,副教授,000089,,0/2,,"地信类1805,地信类1806",1-8,50102,A座102,工程管理系
工程经济与管理,2,傅纯,讲师（高校）,000090,,0/2,,"地信类1814,地信类1813",1-8,50102,A座110,工程管理系
工程经济与管理,2,傅纯,讲师（高校）,000090,,0/2,,"地信类1814,地信类1813",1-8,20304,A座110,工程管理系
工程经济与管理,2,"王青娥,张彦春","副教授,副教授",000093,,0/2,,"地信类1808,地信类1807",1-8,50708,C座108,工程管理系
工程经济与管理,2,"王青娥,张彦春","副教授,副教授",000093,,0/2,,"地信类1808,地信类1807",1-8,20304,C座103,工程管理系
工程经济与管理,2,郑勇强,讲师（高校）,000096,,0/2,,"地信类1812,地信类1811",1-8,30910,C座407,工程管理系
工程经济与管理,2,郑勇强,讲师（高校）,000096,,0/2,,"地信类1812,地信类1811",1-8,10910,C座402,工程管理系
工程经济与管理,2,"张彦春,王青娥","副教授,副教授",000098,,0/2,,"地信类1809,地信类1810",1-8,10910,C座310,工程管理系
工程经济与管理,2,"张彦春,王青娥","副教授,副教授",000098,,0/2,,"地信类1809,地信类1810",1-8,30910,C座404,工程管理系
公共管理学,2,刘春湘,教授,000099,,0/7,,"地信类1801,地信类1807,地信类1802,地信类1806,地信类1805,地信类1803,地信类1804",9-16,30910,B座112,人力资源与社会保障系
公共管理学,2,刘春湘,教授,000099,,0/7,,"地信类1801,地信类1807,地信类1802,地信类1806,地信类1805,地信类1803,地信类1804",9-16,50910,B座114,人力资源与社会保障系
公共管理学,2,刘春湘,教授,000111,,0/7,,"地信类1810,地信类1813,地信类1809,地信类1812,地信类1811,地信类1814,地信类1808",9-16,10910,B座213,人力资源与社会保障系
公共管理学,2,刘春湘,教授,000111,,0/7,,"地信类1810,地信类1813,地信类1809,地信类1812,地信类1811,地信类1814,地信类1808",9-16,50708,B座212,人力资源与社会保障系
知识产权法,2,刘强,教授,000113,,0/6,,"地信类1805,地信类1803,地信类1804,地信类1802,地信类1806,地信类1801",1-16,50304,A座201,知识产权法
知识产权法,2,易玲,副教授,000118,,0/4,,"地信类1814,地信类1813,地信类1812,地信类1811",1-16,50506,C座209,知识产权法
知识产权法,2,何炼红,教授,000122,,0/4,,"地信类1808,地信类1809,地信类1807,地信类1810",1-16,40304,C座407,知识产权法
大学英语（二）,3,赵启红,讲师（高校）,000127,,29/1,,地信类1801,1-16,20102,外语网络楼114,大学外语部
大学英语（二）,3,赵启红,讲师（高校）,000127,,29/1,,地信类1801,1-16,20304,外语网络楼224,大学外语部
大学英语（二）,3,周浩农,讲师（高校）,000128,,29/1,,地信类1802,1-16,20708,外语网络楼345,大学外语部
大学英语（二）,3,周浩农,讲师（高校）,000128,,29/1,,地信类1802,1-16,40304,外语网络楼114,大学外语部
大学英语（二）,3,马婧,讲师（高校）,000129,,27/1,,地信类1803,1-16,20102,外语网络楼136,大学外语部
大学英语（二）,3,马婧,讲师（高校）,000129,,27/1,,地信类1803,1-16,40506,外语网络楼114,大学外语部
大学英语（二）,3,傅春晖,副教授,000130,,28/1,,地信类1812,1-16,10102,外语网络楼345,大学外语部
大学英语（二）,3,傅春晖,副教授,000130,,28/1,,地信类1812,1-16,30304,外语网络楼114,大学外语部
大学英语（二）,3,傅晓燕,副教授,000131,,25/1,,地信类1805,1-16,20102,外语网络楼231,大学外语部
大学英语（二）,3,傅晓燕,副教授,000131,,25/1,,地信类1805,1-16,40304,外语网络楼103,大学外语部
大学英语（二）,3,屈典宁,副教授,000132,,25/1,,地信类1813,1-16,10304,外语网络楼137,大学外语部
大学英语（二）,3,屈典宁,副教授,000132,,25/1,,地信类1813,1-16,30102,外语网络楼104,大学外语部
